city,state,date_time,shape,duration
Crown Point,IN,2017-06-16T09:28:00,disk,61 - 120 minutes
Aledo,TX,2017-06-16T05:00:00,flash,61 - 120 minutes
Barrington,NH,2017-06-16T00:15:00,triangle,1 - 5 minutes
Colby,KS,2017-06-16T00:05:00,light,< 1 minute
Littleton,CO,2017-06-16T00:00:00,cross,1 - 5 minutes
Phoenix,AZ,2017-06-15T23:00:00,triangle,< 1 minute
Paulden,AZ,2017-06-15T21:55:00,light,6 - 10 minutes
St Louis,MO,2017-06-15T21:10:00,sphere,6 - 10 minutes
Stevens Point,WI,2017-06-15T19:30:00,sphere,1 - 5 minutes
Clear Lake,SD,2017-06-15T19:00:00,flash,< 1 minute
Chula Vista,CA,2017-06-15T17:15:00,light,6 - 10 minutes
Visalia,CA,2017-06-15T16:30:00,circle,16 - 20 minutes
Phoenix,AZ,2017-06-15T15:35:00,other,1 - 5 minutes
Colonie,NY,2017-06-15T15:30:00,cross,1 - 5 minutes
Denver,CO,2017-06-15T10:03:00,formation,1 - 5 minutes
Orlando,FL,2017-06-15T07:35:00,other,< 1 minute
Leander,TX,2017-06-14T23:00:00,sphere,< 1 minute
Serbia,XX,2017-06-14T22:01:00,circle,< 1 minute
St Louis,MO,2017-06-14T21:46:00,light,< 1 minute
Corinth,MS,2017-06-14T20:45:00,unknown,61 - 120 minutes
Durham,NC,2017-06-14T11:00:00,disk,< 1 minute
Waynesville,MO,2017-06-14T02:00:00,formation,121 + minutes
Walsenburg,CO,2017-06-14T00:30:00,light,< 1 minute
Los Angeles,CA,2017-06-14T00:15:00,fireball,< 1 minute
Dunkirk,MD,2017-06-13T23:40:00,disk,6 - 10 minutes
Emerald Isle,NC,2017-06-13T22:30:00,fireball,31 - 60 minutes
Colorado Springs,CO,2017-06-13T22:30:00,light,1 - 5 minutes
Grovetown,GA,2017-06-13T21:19:00,triangle,< 1 minute
Murrieta,CA,2017-06-13T21:00:00,sphere,1 - 5 minutes
Bardstown,KY,2017-06-13T10:52:00,triangle,1 - 5 minutes
Peabody,MA,2017-06-13T00:00:00,cylinder,21 - 30 minutes
Springfield,MO,2017-06-12T22:30:00,light,1 - 5 minutes
Ukiah,CA,2017-06-12T22:10:00,fireball,1 - 5 minutes
Lapeer,MI,2017-06-12T21:50:00,light,< 1 minute
Buckeye,AZ,2017-06-12T21:50:00,other,1 - 5 minutes
Yuma,AZ,2017-06-12T21:30:00,circle,< 1 minute
Port Barre,LA,2017-06-12T21:10:00,oval,1 - 5 minutes
India,XX,2017-06-12T21:10:00,light,< 1 minute
Donora,PA,2017-06-12T21:00:00,light,< 1 minute
Pocono Lake,PA,2017-06-12T20:45:00,oval,1 - 5 minutes
Minnetonka,MN,2017-06-12T12:00:00,light,1 - 5 minutes
Fortuna,AZ,2017-06-12T03:45:00,unknown,31 - 60 minutes
Redwater,AB,2017-06-12T00:30:00,other,1 - 5 minutes
India,XX,2017-06-12T00:00:00,other,< 1 minute
Lantana,FL,2017-06-11T23:14:00,oval,< 1 minute
Toronto,KS,2017-06-11T23:00:00,light,< 1 minute
San Leandro,CA,2017-06-11T23:00:00,light,61 - 120 minutes
Rutledge,TN,2017-06-11T22:56:00,disk,61 - 120 minutes
Westminster,MD,2017-06-11T22:45:00,formation,< 1 minute
Rutledge,TN,2017-06-11T22:44:00,other,61 - 120 minutes
Cave Creek,AZ,2017-06-11T22:30:00,disk,6 - 10 minutes
Massillon,OH,2017-06-11T22:00:00,light,1 - 5 minutes
Palmyra,PA,2017-06-11T21:25:00,circle,1 - 5 minutes
Mount Laurel,NJ,2017-06-11T19:35:00,light,< 1 minute
Turnersville,NJ,2017-06-11T19:00:00,teardrop,< 1 minute
Wilmington,DE,2017-06-11T14:30:00,other,16 - 20 minutes
Wilmington,DE,2017-06-11T14:30:00,other,16 - 20 minutes
Wilmington,DE,2017-06-11T14:30:00,fireball,6 - 10 minutes
Jacksonville,FL,2017-06-11T13:30:00,sphere,1 - 5 minutes
Lapeer,MI,2017-06-11T11:15:00,light,< 1 minute
New York,NY,2017-06-11T11:00:00,rectangle,1 - 5 minutes
Virginia Beach,VA,2017-06-11T10:40:00,rectangle,1 - 5 minutes
Dodge City,KS,2017-06-11T04:00:00,changing,1 - 5 minutes
Baltimore,MD,2017-06-11T00:00:00,sphere,61 - 120 minutes
Lithuania,XX,2017-06-10T23:29:00,other,6 - 10 minutes
Roseville,OH,2017-06-10T23:00:00,circle,61 - 120 minutes
Goffstown,NH,2017-06-10T23:00:00,unknown,< 1 minute
Shelbyville,IN,2017-06-10T22:09:00,light,< 1 minute
Yakima,WA,2017-06-10T22:00:00,fireball,1 - 5 minutes
Reading,PA,2017-06-10T21:50:00,unknown,1 - 5 minutes
UAE,XX,2017-06-10T21:30:00,triangle,< 1 minute
Novi,MI,2017-06-10T21:23:00,fireball,21 - 30 minutes
Saint Peters,MO,2017-06-10T21:00:00,disk,1 - 5 minutes
Alexandria,VA,2017-06-10T20:50:00,sphere,6 - 10 minutes
Middletown,CT,2017-06-10T20:45:00,unknown,1 - 5 minutes
Troy,VA,2017-06-10T20:32:00,circle,< 1 minute
Oak Lawn,IL,2017-06-10T18:00:00,unknown,< 1 minute
Boston,MA,2017-06-10T15:50:00,fireball,6 - 10 minutes
Hardy,VA,2017-06-10T14:00:00,disk,< 1 minute
Manalapan,NJ,2017-06-10T13:00:00,sphere,1 - 5 minutes
Croton,IA,2017-06-10T11:00:00,light,1 - 5 minutes
Anderson,CA,2017-06-10T10:15:00,oval,16 - 20 minutes
Long Beach,CA,2017-06-10T07:34:00,unknown,< 1 minute
Redding,CA,2017-06-10T05:00:00,other,21 - 30 minutes
Half Moon Bay,CA,2017-06-10T04:20:00,fireball,1 - 5 minutes
Chester,PA,2017-06-10T03:15:00,disk,1 - 5 minutes
Independence,MO,2017-06-10T03:00:00,changing,61 - 120 minutes
Nanaimo,BC,2017-06-10T01:00:00,light,1 - 5 minutes
Rabbit Valley,CO,2017-06-10T00:00:00,light,1 - 5 minutes
Ann Arbor,MI,2017-06-09T23:30:00,triangle,< 1 minute
Hebron,KY,2017-06-09T22:35:00,light,< 1 minute
Pleasanton,CA,2017-06-09T22:30:00,triangle,1 - 5 minutes
Cherokee,NC,2017-06-09T22:30:00,circle,< 1 minute
Eau Claire,WI,2017-06-09T22:20:00,fireball,1 - 5 minutes
Leota,MI,2017-06-09T22:00:00,other,1 - 5 minutes
Boulder,CO,2017-06-09T22:00:00,circle,< 1 minute
Morehead,KY,2017-06-09T22:00:00,light,1 - 5 minutes
Atoka,TN,2017-06-09T21:50:00,unknown,1 - 5 minutes
Cimarron,CO,2017-06-09T21:45:00,cross,6 - 10 minutes
Anaheim,CA,2017-06-09T17:29:00,sphere,1 - 5 minutes
Salem,OR,2017-06-09T16:36:00,circle,< 1 minute
Park City,UT,2017-06-09T14:30:00,oval,< 1 minute
Round Lake,IL,2017-06-09T14:00:00,oval,6 - 10 minutes
Ballinger,TX,2017-06-09T05:00:00,circle,121 + minutes
Derry,PA,2017-06-09T03:55:00,light,Unknown
New Cumberland,WV,2017-06-09T01:30:00,triangle,1 - 5 minutes
Allen Park,MI,2017-06-09T00:30:00,sphere,1 - 5 minutes
Peoria,IL,2017-06-08T23:41:00,oval,1 - 5 minutes
Bremerton,WA,2017-06-08T23:00:00,formation,1 - 5 minutes
Lock Haven,PA,2017-06-08T22:03:00,light,< 1 minute
Marietta,GA,2017-06-08T22:00:00,light,< 1 minute
Prescott Valley,AZ,2017-06-08T22:00:00,formation,16 - 20 minutes
Kalamazoo,MI,2017-06-08T21:50:00,unknown,6 - 10 minutes
Welton,AZ,2017-06-08T21:45:00,chevron,< 1 minute
Paulden,AZ,2017-06-08T21:45:00,light,1 - 5 minutes
Troy,VT,2017-06-08T21:30:00,unknown,1 - 5 minutes
Beloit,WI,2017-06-08T21:00:00,formation,< 1 minute
Portsmouth,VA,2017-06-08T21:00:00,circle,< 1 minute
New Zealand,XX,2017-06-08T20:15:00,light,1 - 5 minutes
Brushton,NY,2017-06-08T12:00:00,disk,< 1 minute
Bessemer City,NC,2017-06-08T09:28:00,circle,21 - 30 minutes
Dayhoit,KY,2017-06-08T04:45:00,light,61 - 120 minutes
Baltimore,MD,2017-06-08T04:00:00,light,61 - 120 minutes
Cushing,TX,2017-06-08T00:00:00,diamond,11 - 15 minutes
New Philadelphia,OH,2017-06-07T23:01:00,triangle,1 - 5 minutes
Bellmore,NY,2017-06-07T22:48:00,light,1 - 5 minutes
Waterford,CT,2017-06-07T22:47:00,unknown,1 - 5 minutes
Houston,TX,2017-06-07T21:15:00,triangle,1 - 5 minutes
Lynnwood,WA,2017-06-07T19:00:00,circle,1 - 5 minutes
Parker,CO,2017-06-07T16:45:00,formation,6 - 10 minutes
Manteno,IL,2017-06-07T15:00:00,disk,21 - 30 minutes
Huntington,NY,2017-06-07T13:30:00,diamond,16 - 20 minutes
Phoenix,AZ,2017-06-07T08:20:00,other,< 1 minute
Belgium,XX,2017-06-06T23:55:00,egg,1 - 5 minutes
Fairfield,OH,2017-06-06T23:45:00,circle,< 1 minute
Missoula,MT,2017-06-06T22:30:00,light,1 - 5 minutes
Seattle,WA,2017-06-06T22:30:00,sphere,6 - 10 minutes
Reno,NV,2017-06-06T22:00:00,circle,61 - 120 minutes
Annapolis,MD,2017-06-06T22:00:00,other,< 1 minute
Borrego Springs,CA,2017-06-06T20:15:00,light,< 1 minute
Kings Beach,CA,2017-06-06T20:15:00,oval,1 - 5 minutes
Reno,NV,2017-06-06T19:30:00,sphere,61 - 120 minutes
Norfolk,VA,2017-06-06T19:00:00,circle,1 - 5 minutes
Reno,NV,2017-06-06T19:00:00,oval,31 - 60 minutes
Seattle,WA,2017-06-06T18:30:00,rectangle,< 1 minute
Plaistow,NH,2017-06-06T15:37:00,triangle,< 1 minute
Canton,MI,2017-06-06T04:20:00,unknown,1 - 5 minutes
New Salisbury,IN,2017-06-06T04:00:00,light,< 1 minute
Virginia Beach,VA,2017-06-06T00:45:00,triangle,1 - 5 minutes
Crystal Lake,IL,2017-06-05T21:29:00,other,1 - 5 minutes
Tucson,AZ,2017-06-05T20:00:00,light,1 - 5 minutes
Las Vegas,NV,2017-06-05T16:45:00,teardrop,< 1 minute
I-95,SC,2017-06-05T02:00:00,oval,1 - 5 minutes
Cave Creek,AZ,2017-06-05T00:00:00,circle,21 - 30 minutes
Palo Alto,CA,2017-06-04T22:00:00,circle,6 - 10 minutes
West Des Moines,IA,2017-06-04T22:00:00,disk,16 - 20 minutes
Spirit Lake,ID,2017-06-04T20:21:00,circle,< 1 minute
Silver Spring,MD,2017-06-04T18:30:00,cigar,6 - 10 minutes
Little Neck,NY,2017-06-04T08:30:00,unknown,6 - 10 minutes
Adams,WI,2017-06-04T04:00:00,circle,1 - 5 minutes
Hamilton,MT,2017-06-04T02:50:00,light,< 1 minute
Omaha,NE,2017-06-04T01:43:00,unknown,21 - 30 minutes
Lake View,IA,2017-06-04T00:30:00,sphere,1 - 5 minutes
Unknown,XX,2017-06-04T00:00:00,unknown,< 1 minute
Balliettsville,PA,2017-06-03T23:30:00,circle,< 1 minute
Benson,AZ,2017-06-03T23:30:00,light,6 - 10 minutes
Durham,NC,2017-06-03T23:30:00,circle,1 - 5 minutes
Amboy,IN,2017-06-03T23:30:00,light,1 - 5 minutes
Elk River,MN,2017-06-03T23:20:00,fireball,1 - 5 minutes
Montoursville,PA,2017-06-03T23:10:00,light,16 - 20 minutes
Nashville,TN,2017-06-03T22:55:00,circle,< 1 minute
Fullerton,CA,2017-06-03T17:02:00,circle,6 - 10 minutes
Carbondale,IN,2017-06-03T12:55:00,oval,6 - 10 minutes
Janesville,WI,2017-06-03T12:30:00,unknown,< 1 minute
South Myrtle Beach,SC,2017-06-03T08:30:00,disk,1 - 5 minutes
Brighton,MI,2017-06-03T08:30:00,oval,1 - 5 minutes
Nashville,IL,2017-06-03T03:55:00,cylinder,61 - 120 minutes
Pearisburg,VA,2017-06-03T01:00:00,formation,6 - 10 minutes
Honeyville,UT,2017-06-03T00:30:00,unknown,21 - 30 minutes
Belgium,XX,2017-06-02T23:55:00,egg,1 - 5 minutes
Boardman,OH,2017-06-02T22:45:00,diamond,1 - 5 minutes
Grand Junction,CO,2017-06-02T22:30:00,unknown,1 - 5 minutes
Germany,XX,2017-06-02T22:04:00,formation,1 - 5 minutes
Adrian,MI,2017-06-02T22:00:00,light,< 1 minute
Myrtle Beach,SC,2017-06-02T21:20:00,fireball,1 - 5 minutes
Lake Havasu City,AZ,2017-06-02T21:15:00,egg,< 1 minute
South Africa,XX,2017-06-02T20:00:00,circle,61 - 120 minutes
Roanoke,VA,2017-06-02T15:10:00,cylinder,6 - 10 minutes
Versailles,KY,2017-06-02T05:26:00,disk,1 - 5 minutes
Edison,NJ,2017-06-02T04:10:00,diamond,11 - 15 minutes
Philippines,XX,2017-06-02T03:18:00,diamond,61 - 120 minutes
Rowley,MA,2017-06-01T21:25:00,fireball,< 1 minute
Jacksonville,FL,2017-06-01T20:00:00,formation,1 - 5 minutes
Perryville,MD,2017-06-01T19:35:00,unknown,< 1 minute
Lakeway,TX,2017-06-01T18:00:00,sphere,< 1 minute
Columbus,OH,2017-06-01T13:18:00,unknown,1 - 5 minutes
Buford,WY,2017-06-01T11:00:00,sphere,< 1 minute
France,XX,2017-06-01T10:35:00,flash,1 - 5 minutes
Mountain Top,PA,2017-06-01T03:35:00,light,1 - 5 minutes
Long Beach,MS,2017-05-31T23:30:00,oval,1 - 5 minutes
Oxford,MS,2017-05-31T22:00:00,other,< 1 minute
Saint Peter,MN,2017-05-31T21:20:00,light,1 - 5 minutes
Slingerlands,NY,2017-05-31T18:52:00,triangle,1 - 5 minutes
Arden Hills,MN,2017-05-31T10:45:00,other,< 1 minute
Colorado Springs,CO,2017-05-31T10:00:00,unknown,21 - 30 minutes
Las Vegas,NV,2017-05-31T05:00:00,rectangle,61 - 120 minutes
Oak Grove,MN,2017-05-31T04:45:00,circle,61 - 120 minutes
Norman,OK,2017-05-31T04:00:00,sphere,121 + minutes
Wahpeton,ND,2017-05-31T01:14:00,fireball,< 1 minute
Sacramento,CA,2017-05-31T00:00:00,light,121 + minutes
Provo,UT,2017-05-30T23:25:00,light,< 1 minute
Las Vegas,NV,2017-05-30T22:20:00,light,< 1 minute
Gila Bend,AZ,2017-05-30T21:15:00,other,1 - 5 minutes
Anniston,AL,2017-05-30T21:15:00,triangle,< 1 minute
Holiday,FL,2017-05-30T14:11:00,disk,< 1 minute
Riverside,CA,2017-05-30T12:20:00,other,6 - 10 minutes
Macedon,NY,2017-05-30T04:25:00,circle,6 - 10 minutes
Birch Tree,MO,2017-05-30T01:45:00,light,61 - 120 minutes
Buffalo,NY,2017-05-29T23:00:00,fireball,< 1 minute
Phoenix,AZ,2017-05-29T21:00:00,oval,6 - 10 minutes
Sugar Hill,GA,2017-05-29T21:00:00,triangle,16 - 20 minutes
Colorado Springs,CO,2017-05-29T20:45:00,cigar,1 - 5 minutes
Topeka,KS,2017-05-29T16:45:00,diamond,< 1 minute
Monroe,MI,2017-05-29T16:00:00,sphere,61 - 120 minutes
Kewanee,IL,2017-05-29T05:15:00,changing,< 1 minute
Northvale,NJ,2017-05-29T03:30:00,circle,1 - 5 minutes
Wonder Lake,IL,2017-05-28T22:50:00,light,61 - 120 minutes
Seattle,WA,2017-05-28T22:30:00,circle,< 1 minute
Oak Lawn,IL,2017-05-28T21:50:00,light,< 1 minute
Auburn,MA,2017-05-28T21:00:00,unknown,6 - 10 minutes
Eminence,MO,2017-05-28T20:56:00,circle,< 1 minute
El Mirage,AZ,2017-05-28T20:00:00,light,1 - 5 minutes
Malibu,CA,2017-05-28T18:53:00,sphere,< 1 minute
Camas,WA,2017-05-28T16:15:00,sphere,1 - 5 minutes
Sutherlin,OR,2017-05-28T10:30:00,rectangle,6 - 10 minutes
Delano,CA,2017-05-28T09:00:00,fireball,1 - 5 minutes
Saint Ann,MO,2017-05-28T05:00:00,oval,< 1 minute
Gaffney,SC,2017-05-28T03:45:00,diamond,21 - 30 minutes
Carlsbad,CA,2017-05-28T00:53:00,fireball,< 1 minute
Newark,NJ,2017-05-27T23:00:00,circle,21 - 30 minutes
Marine park Bklyn,NY,2017-05-27T23:00:00,light,61 - 120 minutes
Edmonton,AB,2017-05-27T22:45:00,light,1 - 5 minutes
Keego Harbor,MI,2017-05-27T22:30:00,triangle,1 - 5 minutes
Clarence,NY,2017-05-27T22:00:00,changing,11 - 15 minutes
San Diego,CA,2017-05-27T21:15:00,light,< 1 minute
Oakland,CA,2017-05-27T21:04:00,circle,< 1 minute
Oakland,CA,2017-05-27T21:04:00,circle,< 1 minute
Spring,TX,2017-05-27T21:00:00,circle,1 - 5 minutes
Corona,CA,2017-05-27T20:00:00,light,< 1 minute
Sierra Vista,AZ,2017-05-27T20:00:00,circle,121 + minutes
South Easton,MA,2017-05-27T14:00:00,oval,1 - 5 minutes
Dolton,IL,2017-05-27T12:00:00,unknown,6 - 10 minutes
Randolph,NJ,2017-05-27T10:56:00,circle,< 1 minute
Seattle,WA,2017-05-27T10:30:00,unknown,61 - 120 minutes
Marysville,MI,2017-05-27T09:00:00,circle,21 - 30 minutes
Venice,FL,2017-05-27T03:35:00,triangle,< 1 minute
Delmont,NJ,2017-05-27T02:45:00,circle,< 1 minute
San Antonio,TX,2017-05-27T02:00:00,circle,1 - 5 minutes
Orland Park,IL,2017-05-27T00:35:00,light,16 - 20 minutes
San Clemente,CA,2017-05-26T23:00:00,circle,Unknown
Sooke,BC,2017-05-26T23:00:00,circle,1 - 5 minutes
Salt Lake City,UT,2017-05-26T03:00:00,light,< 1 minute
Shakopee,MN,2017-05-25T22:33:00,circle,1 - 5 minutes
Victor,ID,2017-05-25T22:30:00,light,16 - 20 minutes
Floresville,TX,2017-05-25T22:30:00,fireball,6 - 10 minutes
Millsboro,DE,2017-05-25T21:00:00,other,6 - 10 minutes
Friendswood,TX,2017-05-25T19:15:00,unknown,1 - 5 minutes
Camden,NJ,2017-05-25T18:00:00,rectangle,1 - 5 minutes
Fort Worth,TX,2017-05-25T04:30:00,sphere,16 - 20 minutes
West Pasco,WA,2017-05-25T03:00:00,cylinder,1 - 5 minutes
Pakistan,XX,2017-05-25T02:00:00,unknown,61 - 120 minutes
Portland,OR,2017-05-25T02:00:00,unknown,61 - 120 minutes
Pace,FL,2017-05-24T23:15:00,disk,61 - 120 minutes
Lincoln,NE,2017-05-24T22:30:00,circle,1 - 5 minutes
Fort Collins,CO,2017-05-24T22:30:00,unknown,1 - 5 minutes
England,XX,2017-05-24T21:40:00,sphere,1 - 5 minutes
Pine Bluff,AR,2017-05-24T21:00:00,light,6 - 10 minutes
Bryan,TX,2017-05-24T07:12:00,sphere,< 1 minute
Fontana,CA,2017-05-24T01:30:00,light,< 1 minute
Brewster,WA,2017-05-24T01:03:00,circle,1 - 5 minutes
Redondo Beach,CA,2017-05-24T00:30:00,sphere,< 1 minute
Northfield,NH,2017-05-23T23:27:00,changing,1 - 5 minutes
Scotland,XX,2017-05-23T22:50:00,circle,6 - 10 minutes
Elk Grove,CA,2017-05-23T22:00:00,unknown,121 + minutes
Webster,NY,2017-05-23T20:50:00,fireball,< 1 minute
Greece,NY,2017-05-23T20:00:00,oval,6 - 10 minutes
Globe,AZ,2017-05-23T19:30:00,unknown,21 - 30 minutes
North Salt Lake,UT,2017-05-23T04:45:00,light,16 - 20 minutes
Leadville,CO,2017-05-23T01:00:00,egg,< 1 minute
Golden,CO,2017-05-22T23:18:00,light,1 - 5 minutes
Kalama,WA,2017-05-22T22:45:00,light,1 - 5 minutes
Lovington,NM,2017-05-22T17:30:00,other,6 - 10 minutes
Castro Valley,CA,2017-05-22T11:30:00,oval,121 + minutes
Saint Louis County,MO,2017-05-22T09:45:00,unknown,< 1 minute
Sumner,WA,2017-05-22T04:10:00,light,16 - 20 minutes
Lincoln City,OR,2017-05-22T04:00:00,oval,1 - 5 minutes
Bardwell,KY,2017-05-22T04:00:00,circle,1 - 5 minutes
Los Gatos Mountains,CA,2017-05-22T01:30:00,light,6 - 10 minutes
Madera,CA,2017-05-22T00:08:00,light,1 - 5 minutes
Wilmington,IL,2017-05-21T23:48:00,flash,121 + minutes
Delaware,OH,2017-05-21T23:02:00,light,1 - 5 minutes
Calgary,AB,2017-05-21T22:42:00,circle,1 - 5 minutes
Landers,CA,2017-05-21T22:30:00,light,1 - 5 minutes
Landers,CA,2017-05-21T22:30:00,diamond,1 - 5 minutes
Landers,CA,2017-05-21T22:00:00,diamond,6 - 10 minutes
Belen,NM,2017-05-21T22:00:00,other,< 1 minute
Landers,CA,2017-05-21T22:00:00,diamond,6 - 10 minutes
Landers,CA,2017-05-21T21:45:00,sphere,< 1 minute
Sacramento,CA,2017-05-21T21:41:00,rectangle,1 - 5 minutes
Vancouver,WA,2017-05-21T19:44:00,diamond,< 1 minute
Jonesborough,TN,2017-05-21T13:00:00,cigar,6 - 10 minutes
Long Beach,CA,2017-05-21T13:00:00,light,1 - 5 minutes
Spanaway,WA,2017-05-21T00:00:00,circle,1 - 5 minutes
England,XX,2017-05-20T23:58:00,fireball,< 1 minute
Silver Lake,KS,2017-05-20T22:30:00,triangle,< 1 minute
Pleasant Hill,CA,2017-05-20T22:00:00,cylinder,61 - 120 minutes
Mechanicsville,VA,2017-05-20T21:02:00,fireball,< 1 minute
Australia,XX,2017-05-20T21:00:00,circle,< 1 minute
Gallup,NM,2017-05-20T21:00:00,sphere,1 - 5 minutes
Las Cruces,NM,2017-05-20T21:00:00,cylinder,61 - 120 minutes
Long Beach,CA,2017-05-20T19:00:00,light,1 - 5 minutes
Goleta,CA,2017-05-20T13:40:00,other,6 - 10 minutes
San Bernardino,CA,2017-05-20T12:15:00,sphere,< 1 minute
Santa Fe,NM,2017-05-20T12:00:00,other,1 - 5 minutes
Philadelphia,PA,2017-05-20T10:39:00,circle,< 1 minute
Bozra,CT,2017-05-20T08:30:00,disk,1 - 5 minutes
New Windsor,NY,2017-05-19T21:20:00,circle,1 - 5 minutes
Wilkes-Barre,PA,2017-05-19T21:17:00,fireball,1 - 5 minutes
Wilkes-Barre,PA,2017-05-19T21:17:00,fireball,1 - 5 minutes
Quincy,WA,2017-05-19T17:49:00,triangle,16 - 20 minutes
Everett,WA,2017-05-19T17:00:00,triangle,1 - 5 minutes
Superior,AZ,2017-05-19T10:49:00,circle,< 1 minute
Hillsboro,OR,2017-05-19T10:36:00,other,61 - 120 minutes
"Weare ,",NH,2017-05-18T22:00:00,chevron,121 + minutes
Old Bridge,NJ,2017-05-18T21:18:00,disk,1 - 5 minutes
Lubbock,TX,2017-05-18T21:00:00,light,121 + minutes
Conway,SC,2017-05-18T21:00:00,diamond,< 1 minute
san jose,CA,2017-05-18T20:55:00,disk,16 - 20 minutes
Paragould,AR,2017-05-18T20:50:00,cylinder,< 1 minute
Santa Rosa,CA,2017-05-18T20:45:00,light,Unknown
North Charleston,SC,2017-05-18T15:25:00,unknown,1 - 5 minutes
Bowie,MD,2017-05-18T15:15:00,light,< 1 minute
Spokane Valley,WA,2017-05-18T12:21:00,triangle,1 - 5 minutes
Wilmington,DE,2017-05-18T06:00:00,unknown,1 - 5 minutes
Des Plaines,IL,2017-05-18T00:00:00,unknown,< 1 minute
Claremore,OK,2017-05-18T00:00:00,other,121 + minutes
Edwardsville,IL,2017-05-17T22:00:00,unknown,21 - 30 minutes
England,XX,2017-05-17T22:00:00,light,< 1 minute
Tucson,AZ,2017-05-17T21:30:00,circle,< 1 minute
New Milford,CT,2017-05-17T21:00:00,sphere,1 - 5 minutes
Wilmington,NC,2017-05-17T19:00:00,sphere,1 - 5 minutes
White Marsh,MD,2017-05-17T15:15:00,rectangle,6 - 10 minutes
Hoboken,NJ,2017-05-17T13:24:00,oval,< 1 minute
Ukraine,XX,2017-05-17T12:00:00,sphere,1 - 5 minutes
Milton,VT,2017-05-17T10:55:00,light,1 - 5 minutes
Pownal,ME,2017-05-16T23:44:00,light,1 - 5 minutes
Salisbury,NC,2017-05-16T22:40:00,light,< 1 minute
Ashton,WV,2017-05-16T20:00:00,oval,1 - 5 minutes
Normandy,MO,2017-05-16T16:00:00,diamond,< 1 minute
Hamilton,AL,2017-05-16T09:50:00,triangle,1 - 5 minutes
Anchorage,AK,2017-05-16T03:00:00,cylinder,1 - 5 minutes
Roseville,CA,2017-05-16T02:00:00,formation,6 - 10 minutes
Seatac,WA,2017-05-16T00:04:00,triangle,< 1 minute
Lebanon,PA,2017-05-15T23:00:00,formation,1 - 5 minutes
North Myrtle Beach,SC,2017-05-15T23:00:00,sphere,21 - 30 minutes
Garden City,SC,2017-05-15T22:30:00,sphere,61 - 120 minutes
Myrtle Beach,SC,2017-05-15T22:30:00,light,1 - 5 minutes
Pittsburgh,PA,2017-05-15T22:30:00,circle,1 - 5 minutes
Garden City Beach,SC,2017-05-15T22:15:00,changing,121 + minutes
Myrtle Beach,SC,2017-05-15T22:03:00,circle,1 - 5 minutes
Sandown,NH,2017-05-15T22:00:00,unknown,< 1 minute
Myrtle Beach,SC,2017-05-15T22:00:00,circle,31 - 60 minutes
Springfield,MA,2017-05-15T22:00:00,light,< 1 minute
Myrtle Beach,SC,2017-05-15T22:00:00,circle,1 - 5 minutes
North Myrtle Beach,SC,2017-05-15T22:00:00,sphere,61 - 120 minutes
Fort Collins,CO,2017-05-15T21:43:00,cigar,1 - 5 minutes
San Jose,CA,2017-05-15T20:45:00,other,121 + minutes
Philippines,XX,2017-05-15T19:10:00,circle,1 - 5 minutes
Melba,ID,2017-05-15T19:00:00,circle,1 - 5 minutes
Oak Lawn,IL,2017-05-15T18:40:00,changing,1 - 5 minutes
North Las Vegas,NV,2017-05-15T14:16:00,teardrop,< 1 minute
Netherlands,XX,2017-05-15T13:00:00,other,< 1 minute
Fort Loramie,OH,2017-05-15T11:30:00,rectangle,61 - 120 minutes
Cookeville,TN,2017-05-15T09:35:00,unknown,1 - 5 minutes
Minster,OH,2017-05-15T09:15:00,sphere,1 - 5 minutes
Saint Augustine,FL,2017-05-15T05:50:00,disk,6 - 10 minutes
Vincennes,IN,2017-05-15T04:00:00,circle,61 - 120 minutes
Hudson,NY,2017-05-15T02:30:00,triangle,6 - 10 minutes
Long Beach,CA,2017-05-15T01:20:00,fireball,1 - 5 minutes
Rockledge,PA,2017-05-15T00:20:00,circle,< 1 minute
Rockledge,PA,2017-05-15T00:20:00,circle,< 1 minute
Cypress,TX,2017-05-15T00:00:00,light,< 1 minute
Des Moines,IA,2017-05-14T23:00:00,circle,1 - 5 minutes
Lansing,MI,2017-05-14T22:25:00,other,1 - 5 minutes
Des Plaines,IL,2017-05-14T22:20:00,fireball,1 - 5 minutes
Clinton,CT,2017-05-14T22:00:00,circle,1 - 5 minutes
Clinton,CT,2017-05-14T21:43:00,circle,1 - 5 minutes
St. Petersburg,FL,2017-05-14T21:30:00,triangle,6 - 10 minutes
Upper Hutt,MA,2017-05-14T20:47:00,changing,1 - 5 minutes
Toledo,OH,2017-05-14T16:30:00,other,6 - 10 minutes
Norfolk,VA,2017-05-14T16:00:00,disk,6 - 10 minutes
Belpre,OH,2017-05-14T15:30:00,other,< 1 minute
Howell,NJ,2017-05-14T15:30:00,disk,1 - 5 minutes
Covington,GA,2017-05-14T13:30:00,egg,21 - 30 minutes
Chicago,IL,2017-05-14T08:23:00,circle,1 - 5 minutes
San Antonio,TX,2017-05-14T05:30:00,light,61 - 120 minutes
Tucson,AZ,2017-05-14T04:00:00,light,16 - 20 minutes
Los Angeles,CA,2017-05-14T03:58:00,circle,1 - 5 minutes
Evans,CO,2017-05-14T03:05:00,triangle,< 1 minute
Williamsport,PA,2017-05-14T00:10:00,triangle,1 - 5 minutes
Centerville,OH,2017-05-13T23:00:00,light,1 - 5 minutes
