city,state,date_time,shape,duration
Tobyhanna,PA,2017-08-15T20:40:00,light,6 - 10 minutes
Cold Springs,AL,2017-08-15T17:00:00,triangle,1 - 5 minutes
Silverton,OR,2017-08-15T17:00:00,egg,1 - 5 minutes
Mexico,XX,2017-08-15T16:00:00,rectangle,1 - 5 minutes
Seattle,WA,2017-08-15T11:00:00,changing,< 1 minute
Oakwood Hills,IL,2017-08-15T03:15:00,light,21 - 30 minutes
Portland,OR,2017-08-15T01:15:00,unknown,< 1 minute
Georgetown,TX,2017-08-15T00:30:00,flash,1 - 5 minutes
Las Vegas,NV,2017-08-15T00:00:00,other,16 - 20 minutes
Dallas,OR,2017-08-14T23:00:00,fireball,< 1 minute
Austin,TX,2017-08-14T22:00:00,triangle,16 - 20 minutes
Woodstock,GA,2017-08-14T22:00:00,unknown,121 + minutes
Salem,MA,2017-08-14T21:30:00,light,< 1 minute
Stagecoach,NV,2017-08-14T21:30:00,circle,16 - 20 minutes
Albany,OR,2017-08-14T21:20:00,circle,1 - 5 minutes
Aurora,CO,2017-08-14T21:00:00,other,< 1 minute
Visalia,CA,2017-08-14T20:42:00,light,1 - 5 minutes
Baldwin,ME,2017-08-14T20:30:00,light,1 - 5 minutes
Missoula,MT,2017-08-14T17:00:00,oval,1 - 5 minutes
Las Vegas,NV,2017-08-14T14:00:00,rectangle,1 - 5 minutes
Milford,CT,2017-08-14T08:45:00,circle,1 - 5 minutes
Phoenix,AZ,2017-08-14T00:20:00,light,1 - 5 minutes
Georgetown,CA,2017-08-13T22:01:00,light,1 - 5 minutes
Grass Valley,CA,2017-08-13T22:00:00,flash,61 - 120 minutes
Sunland,CA,2017-08-13T21:32:00,light,1 - 5 minutes
Antioch,CA,2017-08-13T21:00:00,oval,1 - 5 minutes
Columbia,SC,2017-08-13T20:30:00,circle,61 - 120 minutes
Essex,MA,2017-08-13T19:30:00,chevron,< 1 minute
Placerville,CA,2017-08-13T19:00:00,changing,6 - 10 minutes
North Ridgeville,OH,2017-08-13T18:00:00,chevron,61 - 120 minutes
Patchogue,NY,2017-08-13T18:00:00,circle,1 - 5 minutes
Burlington,CT,2017-08-13T16:05:00,disk,< 1 minute
Palisade,CO,2017-08-13T11:00:00,circle,121 + minutes
St. Petersburg,FL,2017-08-13T10:00:00,sphere,< 1 minute
Kenmore,NY,2017-08-13T03:30:00,triangle,< 1 minute
Spain,XX,2017-08-13T02:35:00,flash,< 1 minute
Rosston,IN,2017-08-13T00:30:00,other,< 1 minute
Cincinnati,OH,2017-08-13T00:00:00,sphere,1 - 5 minutes
Jalama Beach,CA,2017-08-12T23:30:00,chevron,< 1 minute
Turkey,XX,2017-08-12T23:30:00,light,21 - 30 minutes
Short Gap,CT,2017-08-12T22:45:00,light,< 1 minute
Mount Pleasant,OH,2017-08-12T22:30:00,flash,1 - 5 minutes
Mount Pleasant,OH,2017-08-12T22:30:00,flash,1 - 5 minutes
Pine Grove,CO,2017-08-12T22:10:00,light,1 - 5 minutes
Clarksville,TN,2017-08-12T22:00:00,flash,1 - 5 minutes
Clarksville,TN,2017-08-12T22:00:00,flash,1 - 5 minutes
Muskegon,MI,2017-08-12T22:00:00,triangle,< 1 minute
Cincinnati,OH,2017-08-12T22:00:00,flash,6 - 10 minutes
Norfolk,VA,2017-08-12T21:45:00,light,1 - 5 minutes
Cottontown,TN,2017-08-12T21:40:00,flash,6 - 10 minutes
Blairsville,PA,2017-08-12T21:38:00,circle,6 - 10 minutes
Mayfield Hts,OH,2017-08-12T21:00:00,changing,< 1 minute
Manlius,NY,2017-08-12T20:50:00,unknown,1 - 5 minutes
Kissimee,FL,2017-08-12T20:30:00,unknown,< 1 minute
Richmond,UT,2017-08-12T19:00:00,circle,121 + minutes
Daytona Beach,FL,2017-08-12T19:00:00,cylinder,6 - 10 minutes
Old Hickory,TN,2017-08-12T17:00:00,light,6 - 10 minutes
Hiawassee,GA,2017-08-12T11:58:00,oval,1 - 5 minutes
Oakboro,NC,2017-08-12T11:03:00,triangle,121 + minutes
Tucson,AZ,2017-08-12T09:30:00,unknown,1 - 5 minutes
Austin,TX,2017-08-12T03:30:00,light,< 1 minute
Davenport,FL,2017-08-12T03:00:00,light,121 + minutes
Grass Valley,CA,2017-08-12T02:00:00,flash,< 1 minute
Brookline,NH,2017-08-12T00:00:00,sphere,< 1 minute
,CA,2017-08-11T23:00:00,flash,< 1 minute
Fort Mill,SC,2017-08-11T22:57:00,circle,1 - 5 minutes
Cincinnati,OH,2017-08-11T22:40:00,unknown,1 - 5 minutes
Edmonton,AB,2017-08-11T22:30:00,other,61 - 120 minutes
Deer Park,WA,2017-08-11T22:30:00,disk,< 1 minute
Cleveland,OH,2017-08-11T22:00:00,fireball,< 1 minute
North Las Vegas,NV,2017-08-11T16:00:00,disk,1 - 5 minutes
New Zealand,XX,2017-08-11T15:55:00,cylinder,< 1 minute
Saint George,UT,2017-08-11T02:00:00,light,31 - 60 minutes
New York,NY,2017-08-11T00:10:00,fireball,1 - 5 minutes
Saint George,UT,2017-08-10T22:45:00,light,1 - 5 minutes
